idx,date,stars,review_text,vader_score,sentiment_bucket,sentiment_label,kitchen_pros,kitchen_cons,service_pros,service_cons,mgmt_pros,mgmt_cons
25,2024-07-08 19:43:00,1,"Einer wenn nicht sogar der schlechteste Burger King Deutschlands. Eine Auswahl an unangenehmen Dingen: Mayo/Ketchup kostet ab der ersten Tüte Extra, 2 Personen für das ganze Restaurant, Von 4 Tischen im außenbereich war keiner sauber Wir mussten 15min warten bevor unsere Bestellung aufgenommen wurde Die Bestellungen des Drive In konnte jeder im Restaurant mithören Die Dame hinter dem Tresen sah nicht besonders gepflegt aus, war dazu noch unfreundlich und äußerst schwer von Begriff.",-0.9485,Negative,Negativ,,,Die Bestellungen des Drive In konnte jeder im Restaurant mithören,,,
28,2024-07-01 19:10:00,1,Ganz lange warten müssen obwohl niemand vor mir war im Drive in. Insgesamt 3x Bestellung aufgegeben und 3x anhören müssen dass der Mayo 1 Euro kostet. Am Ende 1 Euro gezahlt und keine Mayo in der Tüte 😏,-0.5994,Negative,Negativ,,,,,,"Ganze drei Bestellungen aufgeben und drei Anrufe für ein einzelnes Produkt (Mayo) machen müssen, was lange Wartezeiten impliziert; keine Mayo im erhaltenen Artikel."
29,2024-06-28 17:48:17,5,Essen war gut und der Service sehr nett und Aufmerksam.,-0.5994,Negative,Positiv,Essen war gut,,Service sehr nett und Aufmerksam,,,
30,2024-06-28 17:30:41,2,"Es gab keine Mayo bei zum Menü mit der Begründung, dass das in dem Restaurant mit Coupons nicht geht. Die Mayo sollte extra 40 Cent kosten. Die Servietten waren abgezählt und gab es nur auf Nachfrage extra, wie auch die Strohhalme. Kein Eis im Getränk. Der Mann hinter der Kasse war an sich nett und konnte laut seiner Aussage nichts dafür. Das Essen war in Ordnung.",-0.9661,Negative,Negativ,Der Mann hinter der Kasse war an sich nett.,,Der Mann hinter der Kasse war an sich nett,,Der Mann hinter der Kasse war an sich nett,
31,2024-06-21 10:40:38,3,Zu heiß da drin und draußen wenig Platz zum sitzen,0.0,Neutral,Negativ,,,,,,
32,2024-06-21 03:45:20,4,"Eine normale Burger King Filiale in der Nähe des Technik Museums, dementsprechend geeignet für einen Besuch nach dem man dort war. Leider waren die Mitarbeiter dort etwas überarbeitet und man musste eine Weile auf das Essen warten. Nicht vorhandende Bestell-Terminals tragen dazu bei. Essen war gut.",-0.9136,Negative,Neutral,Essen war gut.,,Essen war gut,,Essen war gut.,
33,2024-06-20 17:20:56,1,"Dreckige Tische kaltes, ungenießbares Essen und schläfriges Personal nicht zu empfehlen noch nie so schlecht gegessen. !",0.0,Neutral,Negativ,,,,,,"dreckige Tische, ungenießbares Essen und schläfriges Personal"
36,2024-06-09 06:50:00,4,"One of the places, where one places order with human interactions, I was pleasantly surprised.",0.6124,Positive,Positiv,,,Pleasantly surprised by human interactions,,Pleasant surprise in human interaction during ordering,
39,2024-06-02 12:46:00,1,"Jr King bestellt, kein quetschie mehr da einfach nichts gesagt, junior frag nach seinem quetschie ich frage an der Kasse nach und bekomme die Antwort pech ist halt alle",-0.5994,Negative,Negativ,,,,,,"Junior erhält keine klare Antwort zu dem Angebot 'quetschie' bei Bestellung, was auf eine organisatorische Inkonsistenz hinweisen könnte."
40,2024-05-29 12:18:12,2,"Das Personal ist zwar sehr freundlich und bemüht, aber so schlecht unterwiesen und eingearbeitet, dass es selbst bei geringem Kundenandrang zu langen Wartezeiten kommt. Da herrscht Handlungsbedarf seitens der Restaurantleitung.",0.0,Neutral,Negativ,,Handlungsbedarf bei Kundenandrang und langen Wartezeiten,Freundlichkeit des Personals,,Freundliches Personal,Lange Wartezeiten aufgrund mangelhafter Unterweisung und Eingliederung
43,2024-05-26 21:31:16,4,"Burger wie immer. Personal ist ne Wucht und superfreundlich. Ambiente eher normal, keine Bestellterminals aber App geht immer.",0.0,Neutral,Positiv,superfreundlich Personal,,superfreundlich,,Personal ist sehr freundlich,
45,2024-05-25 07:13:22,2,"Die haben jetzt auch Burger, die gar keine Burger mehr sind?? Also kein Fleisch mehr?? Wow….aber abgesehen davon leider Atmosphäre eines Tennisclubheims, Burger waren auch schon größer (ich war jetzt zwei Jahre nicht mehr beim König), aber die Preise haben mich erst einmal geschockt und als dann mein Whopper jr. mit drei Bissen verschwand war ich schon enttäuscht. Hähnchen-Nuggets lauwarm und alles andere als knusprig. Und wir waren dort, als noch 2 Gäste im Restaurant saßen, also keine stressige Stoßzeit oder ähnliches…",-0.97,Negative,Negativ,,,,,,
46,2024-05-22 21:13:22,1,"Ich glaube die schlechteste BK die habe ich mal gesehen im mein gantze leben ! … ich habe wirklich gekotz zu hause , ohne spass … extrem schlect",-0.8439,Negative,Negativ,,,,,,
47,2024-05-22 17:59:51,1,"Worst experience at Burger King ever, the food we received was old and who knows for how long they got it with them. We tried to complain with the cashier and she was very rude. I will never come back here again",-0.8718,Negative,Negativ,,,,,,"Die Kundenservice-Kraft war sehr unhöflich, als wir versucht haben, über das Essen zu klagen."
