idx,date,stars,review_text,vader_score,sentiment_bucket,sentiment_label,llm_label,llm_confidence,llm_score,fused_label,fused_score,fused_w_vader,fused_w_llm,kitchen_pros,kitchen_cons,service_pros,service_cons,mgmt_pros,mgmt_cons
18,2024-08-05 10:23:00,3,Keine Automaten und Laden nimmt nicht am Treueprogramm teil.,0.0,Neutral,Negative,negative,0.95,-0.95,Negative,-0.7124999999999999,0.25,0.75,n/a,n/a,n/a,Lack of self-checkout and loyalty program participation,N/A,"Mangel an Automaten, kein Teilnahme von Loyalitätsprogrammen"
19,2024-08-02 14:42:00,1,Toiletten Hygiene nicht okay,0.2263,Positive,Negative,negative,1.0,-1.0,Negative,-0.693425,0.25,0.75,n/a,n/a,n/a,n/a,n/a,n/a
21,2024-08-01 10:18:00,1,Horrible just horrible asked 2 TIMES for a cheese burger with no pickles and guess what they put extra pickles fricking hate this place.,-0.9216,Negative,Negative,negative,0.95,-0.95,Negative,-0.93438,0.55,0.45,n/a,n/a,n/a,n/a,n/a,"Kunden erwähnen eine negative Erfahrung mit zusätzlichen Pickeln, was auf organisatorische Probleme hinweist: 'guess what siep put extra pickels freinkommendes hates.'"
22,2024-07-29 12:59:56,3,Obsluha hrúza 30minut čekání na jídlo a potom ani nedojde celé.,0.0,Neutral,Negative,negative,0.95,-0.95,Negative,-0.7124999999999999,0.25,0.75,n/a,Jídlo nedojde celé (Neudefinites Zitat) n/a für Geschmack und Temperatur.,n/a,n/a,n/a,Kurze Wartezeit von 30 minuten vor der Serviceerfahrung
23,2024-07-22 17:55:13,5,"Sehr höfliches Personal, sehr sauber, und sehr schnell zubereitet.",0.0,Neutral,Positive,positive,0.98,0.98,Positive,0.735,0.25,0.75,sehr schnell zubereitet,n/a,n/a,n/a,sehr sauber,n/a
24,2024-07-19 00:08:30,2,"Food is great, but service not so much. Wanted to order only an whopper burger. But that was for some reason not possible. No explanation whatsoever given, only whopper menu is possible in this place. Weird.",0.4276,Positive,Negative,negative,0.9,-0.9,Negative,-0.16982000000000003,0.55,0.45,n/a,"Wanted to order only an whopper burger but was not possible without explanation; Only a Whopper menu available, considered weird",n/a,"Keine Bestellmöglichkeit für ein Whopper-Burger ohne Erklärung und begrenzte Auswahl auf dem Menü, was als unklarer Service empfunden wird.",n/a,"Service ist nicht so gut; Kunden können keine Bestellung aufnehmen ohne Erklärung, was darauf hinweist eine Organisationseinschränkung."
25,2024-07-08 19:43:00,1,"Einer wenn nicht sogar der schlechteste Burger King Deutschlands. Eine Auswahl an unangenehmen Dingen: Mayo/Ketchup kostet ab der ersten Tüte Extra, 2 Personen für das ganze Restaurant, Von 4 Tischen im außenbereich war keiner sauber Wir mussten 15min warten bevor unsere Bestellung aufgenommen wurde Die Bestellungen des Drive In konnte jeder im Restaurant mithören Die Dame hinter dem Tresen sah nicht besonders gepflegt aus, war dazu noch unfreundlich und äußerst schwer von Begriff.",-0.9485,Negative,Negative,negative,0.98,-0.98,Negative,-0.962675,0.55,0.45,n/a,n/a,Die Bestellungen des Drive In konnte jeder im Restaurant mithören,n/a,n/a,"Von 4 Tischen im außenbereich war keiner sauber; Die Bestellungen des Drive In konnte jeder im Restaurant mithören; Dame hinter dem Tresen sah nicht besonders gepflegt aus, war dazu noch unfreundlich und äußerst schwer von Begriff"
28,2024-07-01 19:10:00,1,Ganz lange warten müssen obwohl niemand vor mir war im Drive in. Insgesamt 3x Bestellung aufgegeben und 3x anhören müssen dass der Mayo 1 Euro kostet. Am Ende 1 Euro gezahlt und keine Mayo in der Tüte 😏,-0.5994,Negative,Negative,negative,0.95,-0.95,Negative,-0.7571700000000001,0.55,0.45,n/a,n/a,n/a,n/a,n/a,n/a
29,2024-06-28 17:48:17,5,Essen war gut und der Service sehr nett und Aufmerksam.,-0.5994,Negative,Positive,positive,0.98,0.98,Positive,0.11132999999999993,0.55,0.45,Essen war gut,n/a,Service sehr nett und Aufmerksam,n/a,n/a,n/a
30,2024-06-28 17:30:41,2,"Es gab keine Mayo bei zum Menü mit der Begründung, dass das in dem Restaurant mit Coupons nicht geht. Die Mayo sollte extra 40 Cent kosten. Die Servietten waren abgezählt und gab es nur auf Nachfrage extra, wie auch die Strohhalme. Kein Eis im Getränk. Der Mann hinter der Kasse war an sich nett und konnte laut seiner Aussage nichts dafür. Das Essen war in Ordnung.",-0.9661,Negative,Negative,negative,0.85,-0.85,Negative,-0.9138550000000001,0.55,0.45,Der Mann hinter der Kasse war an sich nett.,n/a,Der Mann hinter der Kasse war anständig,n/a,Der Mann hinter der Kasse war anständig.,n/a
31,2024-06-21 10:40:38,3,Zu heiß da drin und draußen wenig Platz zum sitzen,0.0,Neutral,Negative,negative,0.95,-0.95,Negative,-0.7124999999999999,0.25,0.75,n/a,n/a,n/a,n/a,n/a,n/a
32,2024-06-21 03:45:20,4,"Eine normale Burger King Filiale in der Nähe des Technik Museums, dementsprechend geeignet für einen Besuch nach dem man dort war. Leider waren die Mitarbeiter dort etwas überarbeitet und man musste eine Weile auf das Essen warten. Nicht vorhandende Bestell-Terminals tragen dazu bei. Essen war gut.",-0.9136,Negative,Neutral,neutral,0.7,0.0,Negative,-0.50248,0.55,0.45,Essen war gut.,n/a,Essen war gut,n/a,Essen war gut.,n/a
33,2024-06-20 17:20:56,1,"Dreckige Tische kaltes, ungenießbares Essen und schläfriges Personal nicht zu empfehlen noch nie so schlecht gegessen. !",0.0,Neutral,Negative,negative,0.98,-0.98,Negative,-0.735,0.25,0.75,n/a,n/a,n/a,n/a,n/a,"ungenießbares Essen, Dreckigkeit, schläfrige Personallösung"
36,2024-06-09 06:50:00,4,"One of the places, where one places order with human interactions, I was pleasantly surprised.",0.6124,Positive,Positive,positive,0.95,0.95,Positive,0.7643200000000001,0.55,0.45,Pleasantly surprised,n/a,Pleasantly surprised by human interactions,n/a,Pleasant surprise in place ordering experience,n/a
39,2024-06-02 12:46:00,1,"Jr King bestellt, kein quetschie mehr da einfach nichts gesagt, junior frag nach seinem quetschie ich frage an der Kasse nach und bekomme die Antwort pech ist halt alle",-0.5994,Negative,Negative,negative,0.95,-0.95,Negative,-0.7571700000000001,0.55,0.45,n/a,n/a,n/a,n/a,n/a,"Jr King bestellt, kein quetschie mehr da einfach nichts gesagt, junior frag nach seinem quetschie ich frage an der Kasse nach und bekomme die Antwort pech ist halt alle"
40,2024-05-29 12:18:12,2,"Das Personal ist zwar sehr freundlich und bemüht, aber so schlecht unterwiesen und eingearbeitet, dass es selbst bei geringem Kundenandrang zu langen Wartezeiten kommt. Da herrscht Handlungsbedarf seitens der Restaurantleitung.",0.0,Neutral,Negative,negative,0.9,-0.9,Negative,-0.675,0.25,0.75,n/a,"Das Personal ist sehr freundlich und bemüht, aber so schlecht unterwiesen und eingearbeitet, dass es selbst bei geringem Kundenandrang zu langen Wartezeiten kommt. Da herrscht Handlungsbedarf seitens der Restaurantleitung.",Freundlich,Lange Wartezeit,n/a,"so schlecht unterwiesen und eingearbeitet, dass es selbst bei geringem Kundenandrang zu langen Wartezeiten kommt"
43,2024-05-26 21:31:16,4,"Burger wie immer. Personal ist ne Wucht und superfreundlich. Ambiente eher normal, keine Bestellterminals aber App geht immer.",0.0,Neutral,Positive,positive,0.9,0.9,Positive,0.675,0.25,0.75,superfreundlich Personal,n/a,superfreiwillige Hilfe von Personalen,n/a,Personal ist superfreundlich,Keine Bestellterminals
45,2024-05-25 07:13:22,2,"Die haben jetzt auch Burger, die gar keine Burger mehr sind?? Also kein Fleisch mehr?? Wow….aber abgesehen davon leider Atmosphäre eines Tennisclubheims, Burger waren auch schon größer (ich war jetzt zwei Jahre nicht mehr beim König), aber die Preise haben mich erst einmal geschockt und als dann mein Whopper jr. mit drei Bissen verschwand war ich schon enttäuscht. Hähnchen-Nuggets lauwarm und alles andere als knusprig. Und wir waren dort, als noch 2 Gäste im Restaurant saßen, also keine stressige Stoßzeit oder ähnliches…",-0.97,Negative,Negative,negative,0.95,-0.95,Negative,-0.961,0.55,0.45,n/a,n/a,n/a,n/a,n/a,Die Preise haben mich erst einmal geschockt; Hähnchen-Nuggets lauwarm und nicht knusprig; Atmosphäre eines Tennisclubheims ohne stressige Stoßzeit
46,2024-05-22 21:13:22,1,"Ich glaube die schlechteste BK die habe ich mal gesehen im mein gantze leben ! … ich habe wirklich gekotz zu hause , ohne spass … extrem schlect",-0.8439,Negative,Negative,negative,0.98,-0.98,Negative,-0.9051450000000001,0.55,0.45,n/a,n/a,n/a,n/a,,n/a
